id	name	department name
1	Accounting & Finance	Business
2	Aeronautical & Manufacturing Engineering	Engineering
3	Agriculture & Forestry	Sciences
4	American Studies	Culture & History
5	Anatomy & Physiology	Medicine
6	Anthropology	Sciences
7	Archaeology	Sciences
8	Architecture	Engineering
9	Art & Design	Arts & Design
10	Aural & Oral Sciences	Sciences
11	Biological Sciences	Sciences
12	Building	Engineering
13	Business & Management Studies	Business
14	Celtic Studies	Culture & History
15	Chemical Engineering	Engineering
16	Chemistry	Sciences
17	Civil Engineering	Engineering
18	Classics & Ancient History	Culture & History
19	Communication & Media Studies	Business
20	Complementary Medicine	Medicine
21	Computer Science	Information Technology
22	Counselling	Medicine
23	Creative Writing	Arts & Design
24	Criminology	Sciences
25	Dentistry	Medicine
26	Drama, Dance & Cinematics	Arts & Design
27	East & South Asian Studies	Culture & History
28	Economics	Business
29	Education	Social Sciences
30	Electrical & Electronic Engineering	Engineering
31	English	Culture & History
32	Fashion	Arts & Design
33	Film Making	Arts & Design
34	Food Science	Sciences
35	Forensic Science	Sciences
36	French	Culture & History
37	Geography & Environmental Sciences	Sciences
38	Geology	Sciences
39	General Engineering	Engineering
40	German	Culture & History
41	History	Culture & History
42	History of Art, Architecture & Design	Arts & Design
43	Hospitality, Leisure, Recreation & Tourism	Business
44	Iberian Languages/Hispanic Studies	Culture & History
45	Italian	Culture & History
46	Land & Property Management	Business
47	Law	Business
48	Librarianship & Information Management	Information Technology
49	Linguistics	Culture & History
50	Marketing	Business
51	Materials Technology	Engineering
52	Mathematics	Sciences
53	Mechanical Engineering	Engineering
54	Medical Technology	Medicine
55	Medicine	Medicine
56	Middle Eastern & African Studies	Culture & History
57	Music	Arts & Design
58	Nursing	Medicine
59	Occupational Therapy	Medicine
60	Optometry, Ophthalmology & Orthoptics	Medicine
61	Pharmacology & Pharmacy	Medicine
62	Philosophy	Culture & History
63	Physics and Astronomy	Sciences
64	Physiotherapy	Medicine
65	Politics	Culture & History
66	Psychology	Medicine
67	Robotics	Information Technology
68	Russian & East European Languages	Culture & History
69	Social Policy	Social Sciences
70	Social Work	Social Sciences
71	Sociology	Social Sciences
72	Sports Science	Medicine
73	Theology & Religious Studies	Culture & History
74	Veterinary Medicine	Medicine
75	Youth Work	Social Sciences
76	Cyber Security	Information Technology
